id,name,size,price,rating,img,url,subB
prod2301343,SofLens 38,1.0 Box ,$28.99,4.4,//pics.drugstore.com/prodimg/90769/155.jpg,https://www.walgreens.com/store/c/soflens-38-(optima-fw)-soflens-38/ID=prod2301343-product,SofLens 38 (Optima FW)
prod6342050,Avaira Vitality,1.0 Box ,$38.99,3.7,//pics.drugstore.com/prodimg/588018/155.jpg,https://www.walgreens.com/store/c/avaira-vitality-avaira-vitality/ID=prod6342050-product,Avaira Vitality
prod2301342,SofLens Multifocal,1.0 Box ,$61.99,4.7,//pics.drugstore.com/prodimg/90922/155.jpg,https://www.walgreens.com/store/c/soflens-multi-focal-soflens-multifocal/ID=prod2301342-product,SofLens Multi-Focal
prod6270630,Proclear Multifocal 1 Day 90 pack,1.0 Box ,$97.99,4.6,//pics.drugstore.com/prodimg/536850/155.jpg,https://www.walgreens.com/store/c/proclear-multifocal-1-day-90-pack-proclear-multifocal-1-day-90-pack/ID=prod6270630-product,Proclear Multifocal 1 Day 90 Pack
prod3898684,Proclear Toric,1.0 Box ,$78.99,4.5,//pics.drugstore.com/prodimg/164163/155.jpg,https://www.walgreens.com/store/c/proclear-toric-proclear-toric/ID=prod3898684-product,Proclear Toric
prod6046881,PureVision 2 HD,1.0 Box ,$54.99,4.4,//pics.drugstore.com/prodimg/325598/155.jpg,https://www.walgreens.com/store/c/purevision2-purevision-2-hd/ID=prod6046881-product,PureVision2
prod6343350,Dailies Total 1 Multifocal 30 pack,1.0 Box ,$54.99,5.0,//pics.drugstore.com/prodimg/589433/155.jpg,https://www.walgreens.com/store/c/dailies-total-1-dailies-total-1-multifocal-30-pack/ID=prod6343350-product,Dailies Total 1
prod6297030,1-Day Acuvue Moist MultiFocal 30 pack,1.0 Box ,$56.99,4.9,//pics.drugstore.com/prodimg/554218/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-moist-multifocal-30pk-1-day-acuvue-moist-multifocal-30-pack/ID=prod6297030-product,1-Day Acuvue Moist MultiFocal 30Pk
prod6315827,BioTrue ONEday for Presbyopia 30 pack,1.0 Box ,$36.99,4.6,//pics.drugstore.com/prodimg/566642/155.jpg,https://www.walgreens.com/store/c/biotrue-oneday-biotrue-oneday-for-presbyopia-30-pack/ID=prod6315827-product,Biotrue ONEday
prod6281851,Biotrue ONEday 30 pack,1.0 Box ,$36.99,4.5,//pics.drugstore.com/prodimg/544551/155.jpg,https://www.walgreens.com/store/c/biotrue-oneday-biotrue-oneday-30-pack/ID=prod6281851-product,Biotrue ONEday
